"","Charge","NW.Counts","SF.Counts","Description","Chapter","Section","Expungeable.","alphcharge"
"472","PRISONER VANDALIZE JAIL/HC PROPERTY c266 §130",4,29,"PRISONER VANDALIZE JAIL/HC PROPERTY","266","130","Yes","PRISONERVANDALIZEJAILHCPROPERTYc266130"
"473","MOTOR VEH VIN, REMOVE/ALTER c266 §139(a)",1,11,"MOTOR VEH VIN, REMOVE/ALTER","266","139(a)","Yes","MOTORVEHVINREMOVEALTERc266139a"
"474","MOTOR VEH WITH DEFACED VIN, POSSESS/RECV c266 §139(c)",1,5,"MOTOR VEH WITH DEFACED VIN, POSSESS/RECV","266","139(c)","Yes","MOTORVEHWITHDEFACEDVINPOSSESSRECVc266139c"
"475","NUMBER PLATE, TAKE OR ATTACH c266 §139(e)",0,30,"NUMBER PLATE, TAKE OR ATTACH","266","139(e)","Yes","NUMBERPLATETAKEORATTACHc266139e"
"476","MACHINERY ID NO., REMOVE/ALTER c266 §139A",1,1,"MACHINERY ID NO., REMOVE/ALTER","266","139A","Yes","MACHINERYIDNOREMOVEALTERc266139A"
"477","FIRE, HOTEL MANAGER FAIL RESPOND TO c266 §13A",0,1,"FIRE, HOTEL MANAGER FAIL RESPOND TO","266","13A","Yes","FIREHOTELMANAGERFAILRESPONDTOc26613A"
"478","BURGLARY, ARMED c266 §14",10,29,"BURGLARY, ARMED","266","14","Yes","BURGLARYARMEDc26614"
"479","BURGLARY, ARMED c266 §14",10,29,"BURGLARY, ARMED","266","14","No","BURGLARYARMEDc26614"
"480","BURGLARY, UNARMED & ASSAULT c266 §14",6,35,"BURGLARY, UNARMED & ASSAULT","266","14","Yes","BURGLARYUNARMEDASSAULTc26614"
"481","BURGLARY, UNARMED & ASSAULT c266 §14",6,35,"BURGLARY, UNARMED & ASSAULT","266","14","No","BURGLARYUNARMEDASSAULTc26614"
"482","BURGLARY, ARMED & ASSAULT c266 §14",3,10,"BURGLARY, ARMED & ASSAULT","266","14","Yes","BURGLARYARMEDASSAULTc26614"
"483","BURGLARY, ARMED & ASSAULT c266 §14",3,10,"BURGLARY, ARMED & ASSAULT","266","14","No","BURGLARYARMEDASSAULTc26614"
"484","BURGLARY, ARMED, SUBSQ.OFF. c266 §14",0,3,"BURGLARY, ARMED, SUBSQ.OFF.","266","14","Yes","BURGLARYARMEDSUBSQOFFc26614"
"485","BURGLARY, ARMED, SUBSQ.OFF. c266 §14",0,3,"BURGLARY, ARMED, SUBSQ.OFF.","266","14","No","BURGLARYARMEDSUBSQOFFc26614"
"486","BURGLARY, FIREARM-ARMED c266 §14",0,1,"BURGLARY, FIREARM-ARMED","266","14","Yes","BURGLARYFIREARMARMEDc26614"
"487","BURGLARY, FIREARM-ARMED c266 §14",0,1,"BURGLARY, FIREARM-ARMED","266","14","No","BURGLARYFIREARMARMEDc26614"
"488","RECORDING, UNAUTHORIZED REPRODUCTION OF c266 §143A",0,12,"RECORDING, UNAUTHORIZED REPRODUCTION OF","266","143A","Yes","RECORDINGUNAUTHORIZEDREPRODUCTIONOFc266143A"
"489","RECORDING W/OUT MFR NAME, MFR/SELL/RENT c266 §143C",0,9,"RECORDING W/OUT MFR NAME, MFR/SELL/RENT","266","143C","Yes","RECORDINGWOUTMFRNAMEMFRSELLRENTc266143C"
"490","DUMPSTER, USE OF ANOTHER'S COMMERCIAL c266 §146",1,1,"DUMPSTER, USE OF ANOTHER'S COMMERCIAL","266","146","Yes","DUMPSTERUSEOFANOTHERSCOMMERCIALc266146"
"491","COUNTERFEIT MARK, DISTRIBUTE c266 §147(b)(1)",8,15,"COUNTERFEIT MARK, DISTRIBUTE","266","147(b)(1)","Yes","COUNTERFEITMARKDISTRIBUTEc266147b1"
"492","COUNTERFEIT MARK, DISTRIB 101-999/$1001-$9999 c266 §147(b)(2)",1,5,"COUNTERFEIT MARK, DISTRIB 101-999/$1001-$9999","266","147(b)(2)","Yes","COUNTERFEITMARKDISTRIB10199910019999c266147b2"
"493","COUNTERFEIT MARK, DISTRIBUTE, 2ND OFF. c266 §147(b)(2)",0,1,"COUNTERFEIT MARK, DISTRIBUTE, 2ND OFF.","266","147(b)(2)","Yes","COUNTERFEITMARKDISTRIBUTE2NDOFFc266147b2"
"494","COUNTERFEIT MARK, DISTRIB 1000+/$10000+ c266 §147(b)(3)",0,1,"COUNTERFEIT MARK, DISTRIB 1000+/$10000+","266","147(b)(3)","Yes","COUNTERFEITMARKDISTRIB100010000c266147b3"
"495","BURGLARY, UNARMED c266 §15",66,258,"BURGLARY, UNARMED","266","15","Yes","BURGLARYUNARMEDc26615"
"496","BURGLARY, UNARMED, SUBSQ.OFF. c266 §15",0,1,"BURGLARY, UNARMED, SUBSQ.OFF.","266","15","Yes","BURGLARYUNARMEDSUBSQOFFc26615"
"497","B&E NIGHTTIME FOR FELONY c266 §16",395,1396,"B&E NIGHTTIME FOR FELONY","266","16","Yes","BENIGHTTIMEFORFELONYc26616"
"498","BREAK INTO DEPOSITORY c266 §16",43,53,"BREAK INTO DEPOSITORY","266","16","Yes","BREAKINTODEPOSITORYc26616"
"499","BREAK INTO DEPOSITORY, ATTEMPT TO c266 §16",7,12,"BREAK INTO DEPOSITORY, ATTEMPT TO","266","16","Yes","BREAKINTODEPOSITORYATTEMPTTOc26616"
"500","B&E NIGHTTIME FOR FELONY VEHICLE c266 §16",0,5,"B&E NIGHTTIME FOR FELONY VEHICLE","266","16","Yes","BENIGHTTIMEFORFELONYVEHICLEc26616"
"501","B&E NIGHTTIME FOR FELONY/B&E, OR ATTEMPT, DEPOSITORY c. 266 s. 16",0,2,"B&E NIGHTTIME FOR FELONY/B&E, OR ATTEMPT, DEPOSITORY","266","16","Yes","BENIGHTTIMEFORFELONYBEORATTEMPTDEPOSITORYc266s16"
"502","B&E FOR MISDEMEANOR c266 §16A",380,536,"B&E FOR MISDEMEANOR","266","16A","Yes","BEFORMISDEMEANORc26616A"
"503","B&E FOR MISDEMEANOR c. 266 s. 16A",0,2,"B&E FOR MISDEMEANOR","266","16A","Yes","BEFORMISDEMEANORc266s16A"
"504","B&E DAYTIME FOR FELONY, PERSON IN FEAR c266 §17",18,138,"B&E DAYTIME FOR FELONY, PERSON IN FEAR","266","17","Yes","BEDAYTIMEFORFELONYPERSONINFEARc26617"
"505","B&E DAYTIME FOR FELONY, PERSON IN FEAR c266 §17",18,138,"B&E DAYTIME FOR FELONY, PERSON IN FEAR","266","17","No","BEDAYTIMEFORFELONYPERSONINFEARc26617"
"506","ENTER AT NIGHT FOR FELONY,PERSON IN FEAR c266 §17",3,63,"ENTER AT NIGHT FOR FELONY,PERSON IN FEAR","266","17","Yes","ENTERATNIGHTFORFELONYPERSONINFEARc26617"
"507","ENTER AT NIGHT FOR FELONY,PERSON IN FEAR c266 §17",3,63,"ENTER AT NIGHT FOR FELONY,PERSON IN FEAR","266","17","No","ENTERATNIGHTFORFELONYPERSONINFEARc26617"
"508","B&E DAYTIME FOR FELONY, ARMED, PERSON IN FEAR c266 §17",1,7,"B&E DAYTIME FOR FELONY, ARMED, PERSON IN FEAR","266","17","Yes","BEDAYTIMEFORFELONYARMEDPERSONINFEARc26617"
"509","B&E DAYTIME FOR FELONY, ARMED, PERSON IN FEAR c266 §17",1,7,"B&E DAYTIME FOR FELONY, ARMED, PERSON IN FEAR","266","17","No","BEDAYTIMEFORFELONYARMEDPERSONINFEARc26617"
"510","ENTER AT NIGHT FOR FELONY, ARMED, PERSON IN FEAR c266 §17",0,2,"ENTER AT NIGHT FOR FELONY, ARMED, PERSON IN FEAR","266","17","Yes","ENTERATNIGHTFORFELONYARMEDPERSONINFEARc26617"
"511","ENTER AT NIGHT FOR FELONY, ARMED, PERSON IN FEAR c266 §17",0,2,"ENTER AT NIGHT FOR FELONY, ARMED, PERSON IN FEAR","266","17","No","ENTERATNIGHTFORFELONYARMEDPERSONINFEARc26617"
"512","B&E DAYTIME FOR FELONY c266 §18",269,1100,"B&E DAYTIME FOR FELONY","266","18","Yes","BEDAYTIMEFORFELONYc26618"
"513","B&E DAYTIME FOR FELONY c266 §18",269,1100,"B&E DAYTIME FOR FELONY","266","18","No","BEDAYTIMEFORFELONYc26618"
"514","ENTER DWELLING AT NIGHT FOR FELONY c266 §18",5,180,"ENTER DWELLING AT NIGHT FOR FELONY","266","18","Yes","ENTERDWELLINGATNIGHTFORFELONYc26618"
"515","ENTER DWELLING AT NIGHT FOR FELONY c266 §18",5,180,"ENTER DWELLING AT NIGHT FOR FELONY","266","18","No","ENTERDWELLINGATNIGHTFORFELONYc26618"
"516","B&E DAYTIME FOR FELONY, ARMED c266 §18",3,8,"B&E DAYTIME FOR FELONY, ARMED","266","18","Yes","BEDAYTIMEFORFELONYARMEDc26618"
"517","B&E DAYTIME FOR FELONY, ARMED c266 §18",3,8,"B&E DAYTIME FOR FELONY, ARMED","266","18","No","BEDAYTIMEFORFELONYARMEDc26618"
"518","ENTER DWELLING AT NIGHT FOR FELONY, ARMED c266 §18",0,2,"ENTER DWELLING AT NIGHT FOR FELONY, ARMED","266","18","Yes","ENTERDWELLINGATNIGHTFORFELONYARMEDc26618"
"519","ENTER DWELLING AT NIGHT FOR FELONY, ARMED c266 §18",0,2,"ENTER DWELLING AT NIGHT FOR FELONY, ARMED","266","18","No","ENTERDWELLINGATNIGHTFORFELONYARMEDc26618"
"520","B&E DAYTIME FOR FELONY c266 §18 - HABITUAL",4,0,"B&E DAYTIME FOR FELONY","266","18 - HABITUAL","Yes","BEDAYTIMEFORFELONYc26618HABITUAL"
"521","ENTER DWELLING FOR FELONY BY FALSE PRETENSES c266 §18A",1,8,"ENTER DWELLING FOR FELONY BY FALSE PRETENSES","266","18A","Yes","ENTERDWELLINGFORFELONYBYFALSEPRETENSESc26618A"
"522","RAILROAD CAR, B&E FOR FELONY c266 §19",0,3,"RAILROAD CAR, B&E FOR FELONY","266","19","Yes","RAILROADCARBEFORFELONYc26619"
"523","RAILROAD CAR, ENTER AT NIGHT FOR FELONY c266 §19",0,1,"RAILROAD CAR, ENTER AT NIGHT FOR FELONY","266","19","Yes","RAILROADCARENTERATNIGHTFORFELONYc26619"
"524","BURN BUILDING c266 §2",13,12,"BURN BUILDING","266","2","Yes","BURNBUILDINGc2662"
"525","BURN PUBLIC BUILDING c266 §2",4,2,"BURN PUBLIC BUILDING","266","2","Yes","BURNPUBLICBUILDINGc2662"
"526","BURN BUILDING CONTENTS c266 §2",4,1,"BURN BUILDING CONTENTS","266","2","Yes","BURNBUILDINGCONTENTSc2662"
"527","LARCENY FROM BUILDING c266 §20",184,1495,"LARCENY FROM BUILDING","266","20","Yes","LARCENYFROMBUILDINGc26620"
"528","BOAT, LARCENY FROM c266 §20",0,3,"BOAT, LARCENY FROM","266","20","Yes","BOATLARCENYFROMc26620"
"529","RAILROAD CAR, LARCENY FROM c266 §20",0,1,"RAILROAD CAR, LARCENY FROM","266","20","Yes","RAILROADCARLARCENYFROMc26620"
"530","LARCENY FROM BUILDING c266 §20 - HABITUAL",2,0,"LARCENY FROM BUILDING","266","20 - HABITUAL","","LARCENYFROMBUILDINGc26620HABITUAL"
"531","TRUCK, B&E FOR FELONY c266 §20A",2,5,"TRUCK, B&E FOR FELONY","266","20A","Yes","TRUCKBEFORFELONYc26620A"
"532","TRUCK, ENTER FOR FELONY c266 §20A",0,5,"TRUCK, ENTER FOR FELONY","266","20A","Yes","TRUCKENTERFORFELONYc26620A"
"533","TRUCK, LARCENY FROM c266 §20B",0,9,"TRUCK, LARCENY FROM","266","20B","Yes","TRUCKLARCENYFROMc26620B"
"534","STOLEN PROPERTY, REFUSE RETURN c266 §21",0,1,"STOLEN PROPERTY, REFUSE RETURN","266","21","","STOLENPROPERTYREFUSERETURNc26621"
"535","POULTRY, B&E OR ENTER TO STEAL c266 §22",0,1,"POULTRY, B&E OR ENTER TO STEAL","266","22","","POULTRYBEORENTERTOSTEALc26622"
"536","LARCENY FROM PERSON c. 266 s. 25",0,22,"LARCENY FROM PERSON","266","25","Yes","LARCENYFROMPERSONc266s25"
"537","LARCENY FROM PERSON c. 266 s. 25",0,22,"LARCENY FROM PERSON","266","25","No","LARCENYFROMPERSONc266s25"
"538","LARCENY FROM PERSON +65 c. 266 s. 25",0,4,"LARCENY FROM PERSON +65","266","25","Yes","LARCENYFROMPERSON65c266s25"
"539","LARCENY FROM PERSON +65 c. 266 s. 25",0,4,"LARCENY FROM PERSON +65","266","25","No","LARCENYFROMPERSON65c266s25"
"540","LARCENY FROM PERSON +65 c266 §25(a)",14,50,"LARCENY FROM PERSON +65","266","25(a)","","LARCENYFROMPERSON65c26625a"
"541","LARCENY FROM PERSON +65, SUBSQ.OFF. c266 §25(a)",0,7,"LARCENY FROM PERSON +65, SUBSQ.OFF.","266","25(a)","","LARCENYFROMPERSON65SUBSQOFFc26625a"
"542","LARCENY FROM PERSON c266 §25(b)",97,710,"LARCENY FROM PERSON","266","25(b)","","LARCENYFROMPERSONc26625b"
"543","TOOLS, LARCENY OF CONSTRUCTION c266 §27",0,7,"TOOLS, LARCENY OF CONSTRUCTION","266","27","Yes","TOOLSLARCENYOFCONSTRUCTIONc26627"
"544","TOOLS, LARCENY OF CONSTRUCTION, SUBSQ. c266 §27",0,2,"TOOLS, LARCENY OF CONSTRUCTION, SUBSQ.","266","27","Yes","TOOLSLARCENYOFCONSTRUCTIONSUBSQc26627"
"545","MOTOR VEH TO DEFRAUD, REMOVE c266 §27A",0,5,"MOTOR VEH TO DEFRAUD, REMOVE","266","27A","","MOTORVEHTODEFRAUDREMOVEc26627A"
"546","MOTOR VEH, MALICIOUS DAMAGE TO c266 §28(a)",187,472,"MOTOR VEH, MALICIOUS DAMAGE TO","266","28(a)","Yes","MOTORVEHMALICIOUSDAMAGETOc26628a"
"547","MOTOR VEH, LARCENY OF c266 §28(a)",107,373,"MOTOR VEH, LARCENY OF","266","28(a)","Yes","MOTORVEHLARCENYOFc26628a"
"548","MOTOR VEH, RECEIVE STOLEN c266 §28(a)",53,1303,"MOTOR VEH, RECEIVE STOLEN","266","28(a)","Yes","MOTORVEHRECEIVESTOLENc26628a"
"549","MOTOR VEH, LARCENY OF, SUBSQ.OFF. c266 §28(a)",3,15,"MOTOR VEH, LARCENY OF, SUBSQ.OFF.","266","28(a)","Yes","MOTORVEHLARCENYOFSUBSQOFFc26628a"
"550","MOTOR VEH, RECEIVE STOLEN, SUBSQ.OFF. c266 §28(a)",3,108,"MOTOR VEH, RECEIVE STOLEN, SUBSQ.OFF.","266","28(a)","Yes","MOTORVEHRECEIVESTOLENSUBSQOFFc26628a"
"551","MOTOR VEH, TAKING & STEALING PARTS c266 §28(a)",2,15,"MOTOR VEH, TAKING & STEALING PARTS","266","28(a)","Yes","MOTORVEHTAKINGSTEALINGPARTSc26628a"
"552","MOTOR VEH, MALICIOUS DAMAGE TO,SUBSQ.OFF c266 §28(a)",0,3,"MOTOR VEH, MALICIOUS DAMAGE TO,SUBSQ.OFF","266","28(a)","Yes","MOTORVEHMALICIOUSDAMAGETOSUBSQOFFc26628a"
"553","MOTOR VEH, TAKING & STEALING PARTS,SUBSQ. c266 §28(a)",0,1,"MOTOR VEH, TAKING & STEALING PARTS,SUBSQ.","266","28(a)","Yes","MOTORVEHTAKINGSTEALINGPARTSSUBSQc26628a"
"554","MOTOR VEH, LARCENY OF/MALICIOUS DAMAGE/RECEIVE STOLEN/TAKE AND STEAL PARTS c. 266 s. 28(a)",0,1,"MOTOR VEH, LARCENY OF/MALICIOUS DAMAGE/RECEIVE STOLEN/TAKE AND STEAL PARTS","266","28(a)","Yes","MOTORVEHLARCENYOFMALICIOUSDAMAGERECEIVESTOLENTAKEANDSTEALPARTSc266s28a"
"555","MOTOR VEH THIEF, CONCEAL c266 §28(b)",0,16,"MOTOR VEH THIEF, CONCEAL","266","28(b)","Yes","MOTORVEHTHIEFCONCEALc26628b"
"556","LARCENY, ATTEMPTED c266 §30",0,11,"LARCENY, ATTEMPTED","266","30","","LARCENYATTEMPTEDc26630"
"557","LARCENY OVER $250 c. 266 s. 30",0,4,"LARCENY OVER $250","266","30","","LARCENYOVER250c266s30"
"558","FIREARM, LARCENY OF c. 266 s. 30",0,1,"FIREARM, LARCENY OF","266","30","","FIREARMLARCENYOFc266s30"
"559","LARCENY UNDER $250 BY SINGLE SCHEME c266 §30 & §30(1)",25,82,"LARCENY UNDER $250 BY SINGLE SCHEME","266","30 & §30(1)","","LARCENYUNDER250BYSINGLESCHEMEc26630301"
"560","LARCENY UNDER $1200 BY SINGLE SCHEME c266 §30 & §30(1)",8,0,"LARCENY UNDER $1200 BY SINGLE SCHEME","266","30 & §30(1)","","LARCENYUNDER1200BYSINGLESCHEMEc26630301"
"561","LARCENY OVER $250 c266 §30(1)",1468,5573,"LARCENY OVER $250","266","30(1)","Yes","LARCENYOVER250c266301"
"562","LARCENY UNDER $250 c266 §30(1)",1129,1859,"LARCENY UNDER $250","266","30(1)","Yes","LARCENYUNDER250c266301"
"563","LARCENY UNDER $1200 c266 §30(1)",134,269,"LARCENY UNDER $1200","266","30(1)","Yes","LARCENYUNDER1200c266301"
"564","FIREARM, LARCENY OF c266 §30(1)",45,36,"FIREARM, LARCENY OF","266","30(1)","Yes","FIREARMLARCENYOFc266301"
"565","LARCENY OVER $1200 c266 §30(1)",41,183,"LARCENY OVER $1200","266","30(1)","Yes","LARCENYOVER1200c266301"
"566","LARCENY OVER $250 BY SINGLE SCHEME c266 §30(1)",27,773,"LARCENY OVER $250 BY SINGLE SCHEME","266","30(1)","Yes","LARCENYOVER250BYSINGLESCHEMEc266301"
"567","LARCENY OVER $1200 BY SINGLE SCHEME c266 §30(1)",8,51,"LARCENY OVER $1200 BY SINGLE SCHEME","266","30(1)","Yes","LARCENYOVER1200BYSINGLESCHEMEc266301"
"568","LARCENY UNDER $1200 BY SINGLE SCHEME c266 §30(1)",0,13,"LARCENY UNDER $1200 BY SINGLE SCHEME","266","30(1)","Yes","LARCENYUNDER1200BYSINGLESCHEMEc266301"
"569","COMMON CARRIER, LARCENY FROM c266 §30(1)",0,1,"COMMON CARRIER, LARCENY FROM","266","30(1)","Yes","COMMONCARRIERLARCENYFROMc266301"
"570","TRADE SECRET, LARCENY OF c266 §30(4)",0,1,"TRADE SECRET, LARCENY OF","266","30(4)","","TRADESECRETLARCENYOFc266304"
"571","LARCENY OVER $250 FROM +60/DISABLED c266 §30(5)",100,91,"LARCENY OVER $250 FROM +60/DISABLED","266","30(5)","No","LARCENYOVER250FROM60DISABLEDc266305"
"572","LARCENY UNDER $250 FROM +60/DISABLED c266 §30(5)",59,27,"LARCENY UNDER $250 FROM +60/DISABLED","266","30(5)","No","LARCENYUNDER250FROM60DISABLEDc266305"
"573","ATTEMPTED LARCENY FROM +60/DISABLED c266 §30(5) & c274 §6",1,0,"ATTEMPTED LARCENY FROM +60/DISABLED","266","30(5) & c274 §6","","ATTEMPTEDLARCENYFROM60DISABLEDc266305c2746"
"574","SHOPLIFTING BY CONCEALING MDSE c266 §30A",494,1501,"SHOPLIFTING BY CONCEALING MDSE","266","30A","Yes","SHOPLIFTINGBYCONCEALINGMDSEc26630A"
"575","SHOPLIFTING BY ASPORTATION c266 §30A",449,2311,"SHOPLIFTING BY ASPORTATION","266","30A","Yes","SHOPLIFTINGBYASPORTATIONc26630A"
"576","SHOPLIFTING $100+ BY ASPORTATION c266 §30A",162,431,"SHOPLIFTING $100+ BY ASPORTATION","266","30A","Yes","SHOPLIFTING100BYASPORTATIONc26630A"
"577","SHOPLIFTING BY CONCEALING MDSE, 3RD OFF. c266 §30A",117,182,"SHOPLIFTING BY CONCEALING MDSE, 3RD OFF.","266","30A","Yes","SHOPLIFTINGBYCONCEALINGMDSE3RDOFFc26630A"
"578","SHOPLIFTING BY ASPORTATION, 3RD OFF. c266 §30A",114,207,"SHOPLIFTING BY ASPORTATION, 3RD OFF.","266","30A","Yes","SHOPLIFTINGBYASPORTATION3RDOFFc26630A"
"579","SHOPLIFTING $100+ BY CONCEALING MDSE c266 §30A",105,324,"SHOPLIFTING $100+ BY CONCEALING MDSE","266","30A","Yes","SHOPLIFTING100BYCONCEALINGMDSEc26630A"
"580","SHOPLIFTING BY CONCEALING MDSE, 2ND OFF. c266 §30A",70,81,"SHOPLIFTING BY CONCEALING MDSE, 2ND OFF.","266","30A","Yes","SHOPLIFTINGBYCONCEALINGMDSE2NDOFFc26630A"
"581","SHOPLIFTING BY ASPORTATION, 2ND OFF. c266 §30A",64,119,"SHOPLIFTING BY ASPORTATION, 2ND OFF.","266","30A","Yes","SHOPLIFTINGBYASPORTATION2NDOFFc26630A"
"582","SHOPLIFTING BY PRICE TAG TAMPERING c266 §30A",22,27,"SHOPLIFTING BY PRICE TAG TAMPERING","266","30A","Yes","SHOPLIFTINGBYPRICETAGTAMPERINGc26630A"
"583","SHOPLIFTING $250+ BY ASPORTATION c266 §30A",11,16,"SHOPLIFTING $250+ BY ASPORTATION","266","30A","Yes","SHOPLIFTING250BYASPORTATIONc26630A"
"584","SHOPLIFTING $250+ BY CONCEALING MDSE c266 §30A",6,20,"SHOPLIFTING $250+ BY CONCEALING MDSE","266","30A","Yes","SHOPLIFTING250BYCONCEALINGMDSEc26630A"
"585","SHOPLIFTING $100+ BY PRICE TAG TAMPERING c266 §30A",2,11,"SHOPLIFTING $100+ BY PRICE TAG TAMPERING","266","30A","Yes","SHOPLIFTING100BYPRICETAGTAMPERINGc26630A"
"586","SHOPLIFTING BY RECORDING FALSE VALUE c266 §30A",2,3,"SHOPLIFTING BY RECORDING FALSE VALUE","266","30A","Yes","SHOPLIFTINGBYRECORDINGFALSEVALUEc26630A"
"587","SHOPLIFTING OF SHOPPING CART c266 §30A",1,3,"SHOPLIFTING OF SHOPPING CART","266","30A","Yes","SHOPLIFTINGOFSHOPPINGCARTc26630A"
"588","SHOPLIFTING BY CONTAINER SWITCHING c266 §30A",1,2,"SHOPLIFTING BY CONTAINER SWITCHING","266","30A","Yes","SHOPLIFTINGBYCONTAINERSWITCHINGc26630A"
"589","SHOPLIFTING BY PRICE TAG TAMPERING, 3RD c266 §30A",1,1,"SHOPLIFTING BY PRICE TAG TAMPERING, 3RD","266","30A","Yes","SHOPLIFTINGBYPRICETAGTAMPERING3RDc26630A"
"590","SHOPLIFTING BY CONTAINER SWITCHING, 2ND c266 §30A",0,3,"SHOPLIFTING BY CONTAINER SWITCHING, 2ND","266","30A","Yes","SHOPLIFTINGBYCONTAINERSWITCHING2NDc26630A"
"591","SHOPLIFTING BY PRICE TAG TAMPERING, 2ND c266 §30A",0,2,"SHOPLIFTING BY PRICE TAG TAMPERING, 2ND","266","30A","Yes","SHOPLIFTINGBYPRICETAGTAMPERING2NDc26630A"
"592","SHOPLIFTING $100+ BY RECORDING FALSE VALUE c266 §30A",0,1,"SHOPLIFTING $100+ BY RECORDING FALSE VALUE","266","30A","Yes","SHOPLIFTING100BYRECORDINGFALSEVALUEc26630A"
"593","SHOPLIFTING $100+ OF SHOPPING CART c266 §30A",0,1,"SHOPLIFTING $100+ OF SHOPPING CART","266","30A","Yes","SHOPLIFTING100OFSHOPPINGCARTc26630A"
"594","SHOPLIFTING BY RECORDING FALSE VALUE,3RD c266 §30A",0,1,"SHOPLIFTING BY RECORDING FALSE VALUE,3RD","266","30A","Yes","SHOPLIFTINGBYRECORDINGFALSEVALUE3RDc26630A"
"595","SHOPLIFTING $250+ BY PRICE TAG TAMPERING c266 §30A",0,1,"SHOPLIFTING $250+ BY PRICE TAG TAMPERING","266","30A","Yes","SHOPLIFTING250BYPRICETAGTAMPERINGc26630A"
"596","SHOPLIFTING; OVER $100.00 c. 266 s. 30A",0,1,"SHOPLIFTING; OVER $100.00","266","30A","Yes","SHOPLIFTINGOVER10000c266s30A"
"597","UNLAWFUL DEACTIVATION/REMOVAL THEFT PROTECTION DEVICE c266 §30B",0,2,"UNLAWFUL DEACTIVATION/REMOVAL THEFT PROTECTION DEVICE","266","30B","","UNLAWFULDEACTIVATIONREMOVALTHEFTPROTECTIONDEVICEc26630B"
"598","Possession of a theft detection shielding device w/ intent to steal c266 §30B(b)",1,0,"POSSESSION OF A THEFT DETECTION SHIELDING DEVICE W/ INTENT TO STEAL","266","30B(b)","","Possessionofatheftdetectionshieldingdevicewintenttostealc26630Bb"
"599","Distribution of a theft device deactivator c266 §30B(c)",3,0,"DISTRIBUTION OF A THEFT DEVICE DEACTIVATOR","266","30B(c)","","Distributionofatheftdevicedeactivatorc26630Bc"
"600","Deactivation or removal of a theft detection w/ the intent to steal c266 §30B(e)",26,0,"DEACTIVATION OR REMOVAL OF A THEFT DETECTION W/ THE INTENT TO STEAL","266","30B(e)","","Deactivationorremovalofatheftdetectionwtheintenttostealc26630Be"
"601","Forging retail receipt, prict ticket, or UPC label w/ intent to defraud c266 §30C",15,0,"FORGING RETAIL RECEIPT, PRICT TICKET, OR UPC LABEL W/ INTENT TO DEFRAUD","266","30C","","ForgingretailreceiptprictticketorUPClabelwintenttodefraudc26630C"
"602","LARCENY BY SINGLE SCHEME, ATTEMPTED c266 §30L",0,16,"LARCENY BY SINGLE SCHEME, ATTEMPTED","266","30L","","LARCENYBYSINGLESCHEMEATTEMPTEDc26630L"
"603","SIGNATURE, OBTAINING BY FALSE PRETENSE c266 §31",2,1,"SIGNATURE, OBTAINING BY FALSE PRETENSE","266","31","","SIGNATUREOBTAININGBYFALSEPRETENSEc26631"
"604","LARCENY OVER $250 BY BOAT CAPTAIN  c266 §32 & §30(1)",1,0,"LARCENY OVER $250 BY BOAT CAPTAIN ","266","32 & §30(1)","","LARCENYOVER250BYBOATCAPTAINc26632301"
"605","LARCENY OVER $250 BY BOAT CAPTAIN c266 §32 & §30(1)",0,1,"LARCENY OVER $250 BY BOAT CAPTAIN","266","32 & §30(1)","","LARCENYOVER250BYBOATCAPTAINc26632301"
"606","FALSE PRETENSE IN COMMER TRANSACTN +$250 c266 §33(1) & §30(1)",0,9,"FALSE PRETENSE IN COMMER TRANSACTN +$250","266","33(1) & §30(1)","","FALSEPRETENSEINCOMMERTRANSACTN250c266331301"
"607","FALSE PRETENSE IN COMMER TRANSACTN -$250 c266 §33(1) & §30(1)",0,1,"FALSE PRETENSE IN COMMER TRANSACTN -$250","266","33(1) & §30(1)","","FALSEPRETENSEINCOMMERTRANSACTN250c266331301"
"608","CREDIT +$250 BY FALSE FINANCIAL STATEMNT c266 §33(2) & §30(1)",0,1,"CREDIT +$250 BY FALSE FINANCIAL STATEMNT","266","33(2) & §30(1)","","CREDIT250BYFALSEFINANCIALSTATEMNTc266332301"
"609","LARCENY OVER $1200 BY FALSE PRETENSE c266 §34 & 30(1)",1,0,"LARCENY OVER $1200 BY FALSE PRETENSE","266","34 & 30(1)","","LARCENYOVER1200BYFALSEPRETENSEc26634301"
"610","LARCENY OVER $250 BY FALSE PRETENSE c266 §34 & §30(1)",39,110,"LARCENY OVER $250 BY FALSE PRETENSE","266","34 & §30(1)","","LARCENYOVER250BYFALSEPRETENSEc26634301"
"611","LARCENY UNDER $250 BY FALSE PRETENSE c266 §34 & §30(1)",34,45,"LARCENY UNDER $250 BY FALSE PRETENSE","266","34 & §30(1)","","LARCENYUNDER250BYFALSEPRETENSEc26634301"
"612","LARCENY UNDER $1200 BY FALSE PRETENSE c266 §34 & §30(1)",2,0,"LARCENY UNDER $1200 BY FALSE PRETENSE","266","34 & §30(1)","","LARCENYUNDER1200BYFALSEPRETENSEc26634301"
"613","FILING FALSE DOCUMENT WITH REGISTRAR OF DEEDS c266 §35/A(b)4",0,2,"FILING FALSE DOCUMENT WITH REGISTRAR OF DEEDS","266","35/A(b)4","","FILINGFALSEDOCUMENTWITHREGISTRAROFDEEDSc26635Ab4"
