"","Charge","NW.Counts","SF.Counts","Description","Chapter","Section","Expungeable.","sex","murder","extra_criteria"
"574","SPRINKLER SYSTEM VIOL, HIGH RISE c148 §26A",0,1,"SPRINKLER SYSTEM VIOL, HIGH RISE","148","26A","Yes",0,0,NA
"575","SPRINKLER SYSTEM VIOL c148 §26B",0,1,"SPRINKLER SYSTEM VIOL","148","26B","Yes",0,0,NA
"576","SMOKE DETECTOR VIOLATION c148 §26E",0,1,"SMOKE DETECTOR VIOLATION","148","26E","Yes",0,0,NA
"577","SPRINKLER SYSTEM VIOL, MULTIPLE DWELL c148 §26I",0,1,"SPRINKLER SYSTEM VIOL, MULTIPLE DWELL","148","26I","Yes",0,0,NA
"578","SPRINKLER SYSTEM, FAIL INSTALL c148 §27",0,1,"SPRINKLER SYSTEM, FAIL INSTALL","148","27","Yes",0,0,NA
"579","SPRINKLER SYSTEM, DISCONNECT c148 §27A",18,12,"SPRINKLER SYSTEM, DISCONNECT","148","27A","Yes",0,0,NA
"580","FIRE VIOLATION, MISCELLANEOUS c148 §34",3,1,"FIRE VIOLATION, MISCELLANEOUS","148","34","Yes",0,0,NA
"581","FIREWORKS, POSSESS UNLAWFUL c148 §39",22,30,"FIREWORKS, POSSESS UNLAWFUL","148","39","Yes",0,0,NA
"582","FIREWORKS, SELL UNLAWFUL c148 §39",0,2,"FIREWORKS, SELL UNLAWFUL","148","39","Yes",0,0,NA
"583","CIGARETTE/MATCH, DROP ON FOREST/FIELD c148 §54",2,4,"CIGARETTE/MATCH, DROP ON FOREST/FIELD","148","54","Yes",0,0,NA
"584","PARKING LOT, UNLICENSED c148 §56",0,1,"PARKING LOT, UNLICENSED","148","56","Yes",0,0,NA
"585","EMPLOYER FAIL PAY WAGES TIMELY c149 §148",0,1,"EMPLOYER FAIL PAY WAGES TIMELY","149","148","Yes",0,0,NA
"586","HEALTH/WELFARE FUND, UNAPPROVED c151D §2",0,1,"HEALTH/WELFARE FUND, UNAPPROVED","151D","2","Yes",0,0,NA
"587","UNEMPLOYMENT COMP, FALSE STATEMENT FOR c151A §47",0,268,"UNEMPLOYMENT COMP, FALSE STATEMENT FOR","151A","47","Yes",0,0,NA
"588","UNEMPLOYMENT COMP VIOLATION c151A §47",0,4,"UNEMPLOYMENT COMP VIOLATION","151A","47","Yes",0,0,NA
"589","UNEMPLOYMENT COMP ADMIN, OBSTRUCT c151A §47",0,1,"UNEMPLOYMENT COMP ADMIN, OBSTRUCT","151A","47","Yes",0,0,NA
"590","WORKERS COMP FRAUD c152 §14",0,3,"WORKERS COMP FRAUD","152","14","Yes",0,0,NA
"591","WORKERS COMP, EMPLOYER FAIL HAVE c152 §25C",2,2,"WORKERS COMP, EMPLOYER FAIL HAVE","152","25C","Yes",0,0,NA
"592","CORPORATE STATEMENT, FALSE c155 §4",0,1,"CORPORATE STATEMENT, FALSE","155","4","Yes",0,0,NA
"593","COMMERCIAL MV FAIL STOP FOR POLICE c159B §14B",0,1,"COMMERCIAL MV FAIL STOP FOR POLICE","159B","14B","Yes",0,0,NA
"594","TAXI VIOLATION c159A §15",0,441,"TAXI VIOLATION","159A","15","Yes",0,0,NA
"595","TAXI VIOLATION, SUBSQ.OFF. c159A §15",0,1,"TAXI VIOLATION, SUBSQ.OFF.","159A","15","Yes",0,0,NA
"596","TAXI FARE, EVADE c159A §16",3,68,"TAXI FARE, EVADE","159A","16","Yes",0,0,NA
"597","TAXI FARE, ATTEMPT TO EVADE c159A §16",0,7,"TAXI FARE, ATTEMPT TO EVADE","159A","16","Yes",0,0,NA
"598","TAXI FARE, ATTEMPT TO EVADE c159A §16A",0,1,"TAXI FARE, ATTEMPT TO EVADE","159A","16A","Yes",0,0,NA
"599","BUS DRIVER, INTERFERE WITH c159A §31",0,38,"BUS DRIVER, INTERFERE WITH","159A","31","Yes",0,0,NA
"600","RAILROAD FARE, EVADE c159 §101",0,135,"RAILROAD FARE, EVADE","159","101","Yes",0,0,NA
"601","MBTA FARE, EVADE c159 §101",0,33,"MBTA FARE, EVADE","159","101","Yes",0,0,NA
"602","RAILROAD FARE, ATTEMPT TO EVADE c159 §101",0,4,"RAILROAD FARE, ATTEMPT TO EVADE","159","101","Yes",0,0,NA
"603","MBTA FARE, ATTEMPT TO EVADE c159 §101",0,2,"MBTA FARE, ATTEMPT TO EVADE","159","101","Yes",0,0,NA
"604","RAILROAD CAR/TRACK/SIGNAL, VANDALIZE c159 §103",0,1,"RAILROAD CAR/TRACK/SIGNAL, VANDALIZE","159","103","Yes",0,0,NA
"605","BUS, THROW MISSILE AT c159 §104",0,2,"BUS, THROW MISSILE AT","159","104","Yes",0,0,NA
"606","BUS DRIVER, ASSAULT c159 §104",0,2,"BUS DRIVER, ASSAULT","159","104","Yes",0,0,NA
"607","RAILROAD OBSTRUCT PUBLIC WAY c160 §151",0,1,"RAILROAD OBSTRUCT PUBLIC WAY","160","151","Yes",0,0,NA
"608","RAILROAD TRACK, WALK/RIDE ON c160 §218",52,47,"RAILROAD TRACK, WALK/RIDE ON","160","218","Yes",0,0,NA
"609","RAILROAD STATION, LOITER IN c160 §219",0,7,"RAILROAD STATION, LOITER IN","160","219","Yes",0,0,NA
"610","RAILROAD FARE, EVADE c160 §220",1,0,"RAILROAD FARE, EVADE","160","220","Yes",0,0,NA
"611","RAILROAD, MALICIOUS INJURY TO c160 §225",1,0,"RAILROAD, MALICIOUS INJURY TO","160","225","Yes",0,0,NA
"612","RAILROAD, OBSTRUCT/ENDANGER c160 §226",1,2,"RAILROAD, OBSTRUCT/ENDANGER","160","226","Yes",0,0,NA
"613","MBTA, POSSESS LIQUOR TO CONSUME ON c161A §5",0,23,"MBTA, POSSESS LIQUOR TO CONSUME ON","161A","5","Yes",0,0,NA
"614","STREETCAR, OBSTRUCT c161 §94",0,1,"STREETCAR, OBSTRUCT","161","94","Yes",0,0,NA
"615","RAILROAD/RAILWAY STATION, LITTER IN c161 §94A",0,1,"RAILROAD/RAILWAY STATION, LITTER IN","161","94A","Yes",0,0,NA
"616","RAILROAD/RAILWAY STATION, LOITER IN c161 §95",0,6,"RAILROAD/RAILWAY STATION, LOITER IN","161","95","Yes",0,0,NA
"617","RAILROAD TRACK, WALK/STAND ON ELECTRIC c162 §18",1,3,"RAILROAD TRACK, WALK/STAND ON ELECTRIC","162","18","Yes",0,0,NA
"618","GAS, FRAUDULENT USE OF c164 §126",0,2,"GAS, FRAUDULENT USE OF","164","126","Yes",0,0,NA
"619","ELECTRICITY, FRAUDULENT USE OF c164 §127",1,4,"ELECTRICITY, FRAUDULENT USE OF","164","127","Yes",0,0,NA
"620","TELEPHONE SERVICE BY FRAUD -$5000,OBTAIN c166 §42A",0,2,"TELEPHONE SERVICE BY FRAUD -$5000,OBTAIN","166","42A","Yes",0,0,NA
"621","CABLE TV SERVICE BY FRAUD -$5000, OBTAIN c166 §42A",0,2,"CABLE TV SERVICE BY FRAUD -$5000, OBTAIN","166","42A","Yes",0,0,NA
"622","TELEPHONE SERVICE BY FRAUD -$5000, ATT c166 §42A",0,1,"TELEPHONE SERVICE BY FRAUD -$5000, ATT","166","42A","Yes",0,0,NA
"623","BANK HOLDING COMPANY RECORD, FALSE c167A §6",0,1,"BANK HOLDING COMPANY RECORD, FALSE","167A","6","Yes",0,0,NA
"624","ELECTRONIC FUND TRANSFER VIOL UNDER $100 c167B §21(b)",1,0,"ELECTRONIC FUND TRANSFER VIOL UNDER $100","167B","21(b)","Yes",0,0,NA
"625","HEALTH CARE CLAIM, FALSE c175H §2",10,34,"HEALTH CARE CLAIM, FALSE","175H","2","Yes",0,0,NA
"626","INSURANCE INFO, GET ON FALSE PRETENSES c175I §22",0,1,"INSURANCE INFO, GET ON FALSE PRETENSES","175I","22","Yes",0,0,NA
"627","INSURANCE CLAIM, FALSE LIFE c175 §127",2,0,"INSURANCE CLAIM, FALSE LIFE","175","127","Yes",0,0,NA
"628","INSURANCE VIOLATION c175 §194",0,1,"INSURANCE VIOLATION","175","194","Yes",0,0,NA
"629","LANDLORD INTERFERE WITH QUIET ENJOYMENT c186 §14",1,1,"LANDLORD INTERFERE WITH QUIET ENJOYMENT","186","14","Yes",0,0,NA
"630","LANDLORD ATTMPT REGAIN PREMISES BY FORCE c186 §14",1,0,"LANDLORD ATTMPT REGAIN PREMISES BY FORCE","186","14","Yes",0,0,NA
"631","ABUSE PREVENTION ORDER, VIOL PROBATE CT c208 §34C",0,4,"ABUSE PREVENTION ORDER, VIOL PROBATE CT","208","34C","No",0,0,NA
"632","DIVORCE, ISSUE UNLAWFUL CERTIFICATE OF c208 §44",0,1,"DIVORCE, ISSUE UNLAWFUL CERTIFICATE OF","208","44","Yes",0,0,NA
"633","ABUSE PREVENTION ORDER, VIOLATE c. 209A s. 3B",0,32,"ABUSE PREVENTION ORDER, VIOLATE","209A","3B","No",0,0,NA
"634","FIREARM SURRENDER ORDER, VIOLATE c209A §3C",2,2,"FIREARM SURRENDER ORDER, VIOLATE","209A","3C","No",0,0,NA
"635","FIREARM SURRENDER ORDER, VIOLATE c. 209A s. 3C",0,1,"FIREARM SURRENDER ORDER, VIOLATE","209A","3C","No",0,0,NA
"636","ABUSE PREVENTION ORDER, VIOLATE c209A §7",1267,3770,"ABUSE PREVENTION ORDER, VIOLATE","209A","7","No",0,0,NA
"637","ABUSE PREVENTION ORDER, VIOLATE c. 209A s. 7",0,17,"ABUSE PREVENTION ORDER, VIOLATE","209A","7","No",0,0,NA
"638","ABUSE PREVENTION ORDER VIOL, RETALIATORY c209A §7",0,13,"ABUSE PREVENTION ORDER VIOL, RETALIATORY","209A","7","No",0,0,NA
"639","ABUSE PREVENTION ORDER, VIOLATE, RETALIATION FOR NON-SUPPORT c. 209A s. 7",0,12,"ABUSE PREVENTION ORDER, VIOLATE, RETALIATION FOR NON-SUPPORT","209A","7","No",0,0,NA
"640","BOSTON MUNIC CT CLERK FAIL PAY ACCOUNTS c218 §56",0,1,"BOSTON MUNIC CT CLERK FAIL PAY ACCOUNTS","218","56","Yes",0,0,NA
"641","LAW, UNAUTHORIZED PRACTICE OF c221 §41",0,8,"LAW, UNAUTHORIZED PRACTICE OF","221","41","Yes",0,0,NA
"642","LAW, REMOVED ATTORNEY PRACTICE c221 §41",0,1,"LAW, REMOVED ATTORNEY PRACTICE","221","41","Yes",0,0,NA
"643","JUROR FAIL TO ATTEND c234A §42",370,1363,"JUROR FAIL TO ATTEND","234A","42","Yes",0,0,NA
"644","JUROR PROCESSING, FRAUD IN c234A §71",1,0,"JUROR PROCESSING, FRAUD IN","234A","71","Yes",0,0,NA
"645","MORTGAGE BROKER OR LENDER LICENSE REQUIREMENT; VIOLATION c. 255E s. 2",0,1,"MORTGAGE BROKER OR LENDER LICENSE REQUIREMENT; VIOLATION","255E","2","Yes",0,0,NA
"646","WITNESS, EMPLOYER PENALIZE/THREATEN c258B §3(l)",0,3,"WITNESS, EMPLOYER PENALIZE/THREATEN","258B","3(l)","Yes",0,0,NA
"647","HARASSMENT PREVENTION ORDER, VIOLATE c258 §9",0,484,"HARASSMENT PREVENTION ORDER, VIOLATE","258","9","Yes",0,0,NA
"648","Harassment Prevention Order, Violate, c258E/9",45,0,"HARASSMENT PREVENTION ORDER, VIOLATE,","258E","9","No",0,0,NA
"649","RIOT, INCITE c264 §11",5,2,"RIOT, INCITE","264","11","Yes",0,0,NA
"650","MURDER c265 §1",10,345,"MURDER","265","1","No",0,1,NA
"651","MURDER c. 265 s. 1",0,9,"MURDER","265","1","No",0,1,NA
"652","KIDNAPPING FOR EXTORTION c265 §09",0,3,"KIDNAPPING FOR EXTORTION","265","09","No",0,0,NA
"653","MANSLAUGHTER c265 §13",12,36,"MANSLAUGHTER","265","13","No",0,1,NA
"654","INVOLUNTARY MANSLAUGHTER c265§13",5,0,"INVOLUNTARY MANSLAUGHTER","265","13","No",0,1,NA
"655","MANSLAUGHTER INVOLVING EXPLOSIVES c265 §13",0,7,"MANSLAUGHTER INVOLVING EXPLOSIVES","265","13","No",0,1,NA
"656","MANSLAUGHTER c. 265 s. 13",0,1,"MANSLAUGHTER","265","13","No",0,1,NA
"657","A&B c265 §13A",2015,14443,"A&B","265","13A","No",0,0,NA
"658","A&B (DOMESTIC) c265 §13A",599,0,"A&B (DOMESTIC)","265","13A","No",0,0,NA
"659","ASSAULT c265 §13A",277,966,"ASSAULT","265","13A","No",0,0,NA
"660","A&B c. 265 s. 13A",0,24,"A&B","265","13A","No",0,0,NA
"661","ASSAULT c. 265 s. 13A",0,9,"ASSAULT","265","13A","No",0,0,NA
"662","A&B, VIOL ABUSE PREVENTION ORDER c265 S 13A(B)",30,0,"A&B, VIOL ABUSE PREVENTION ORDER","265","13A(B)","No",0,0,NA
"663","A&B, AGGRAVATED c265 §13A(b)",0,560,"A&B, AGGRAVATED","265","13A(b)","No",0,0,NA
"664","A&B UPON PREGNANT PERSON c265 §13A(b)",0,441,"A&B UPON PREGNANT PERSON","265","13A(b)","No",0,0,NA
"665","A&B,CAUSING SERIOUS BODILY INJURY c265 §13A(b)",0,98,"A&B,CAUSING SERIOUS BODILY INJURY","265","13A(b)","No",0,0,NA
"666","A&B IN VIOLATION OF RESTRAINING ORDER c265 §13A(b)",0,35,"A&B IN VIOLATION OF RESTRAINING ORDER","265","13A(b)","No",0,0,NA
"667","ASSAULT, VIOL ABUSE PREVENTION ORDER c265 §13A(b)",0,3,"ASSAULT, VIOL ABUSE PREVENTION ORDER","265","13A(b)","No",0,0,NA
"668","INDECENT A&B ON CHILD UNDER 14 c265 §13B",258,784,"INDECENT A&B ON CHILD UNDER 14","265","13B","No",0,0,NA
"669","INDECENT A&B ON CHILD UNDER 14, SUBSQ. c265 §13B",0,13,"INDECENT A&B ON CHILD UNDER 14, SUBSQ.","265","13B","No",0,0,NA
"670","INDECENT A&B ON CHILD UNDER 14 AFTER CERTAIN OFFENSES c265 §13B",0,4,"INDECENT A&B ON CHILD UNDER 14 AFTER CERTAIN OFFENSES","265","13B","No",0,0,NA
"671","A&B TO COLLECT LOAN c265 §13C",9,30,"A&B TO COLLECT LOAN","265","13C","No",0,0,NA
"672","A&B TO COLLECT LOAN, SUBSQ.OFF. c265 §13C",0,1,"A&B TO COLLECT LOAN, SUBSQ.OFF.","265","13C","No",0,0,NA
"673","A&B ON POLICE OFFICER c265 §13D",501,3444,"A&B ON POLICE OFFICER","265","13D","Yes",0,0,NA
"674","A&B ON PUBLIC EMPLOYEE c265 §13D",28,787,"A&B ON PUBLIC EMPLOYEE","265","13D","Yes",0,0,NA
"675","A&B ON PUBLIC EMPLOYEE, SERIOUS BODILY INJURY c265 §13D",1,0,"A&B ON PUBLIC EMPLOYEE, SERIOUS BODILY INJURY","265","13D","Yes",0,0,NA
"676","A&B ATTEMPT TO DISARM POLICE OFFICER c265 §13D",0,3,"A&B ATTEMPT TO DISARM POLICE OFFICER","265","13D","Yes",0,0,NA
"677","A&B ON POLICE OFFICER, SERIOUS BODILY INJURY c265 §13D",0,1,"A&B ON POLICE OFFICER, SERIOUS BODILY INJURY","265","13D","Yes",0,0,NA
"678","A&B ON PUBLIC EMPLOYEE c. 265 s. 13D",0,1,"A&B ON PUBLIC EMPLOYEE","265","13D","Yes",0,0,NA
"679","FIREFIGHTER, INJURE c265 §13D½",0,9,"FIREFIGHTER, INJURE","265","13D½","No",0,0,NA
"680","INDECENT A&B ON A PERSON WITH AN INTELLECTUAL DISABILITY  c265 §13F",12,0,"INDECENT A&B ON A PERSON WITH AN INTELLECTUAL DISABILITY ","265","13F","No",0,0,NA
"681","A&B ON A PERSON WITH AN INTELLECTUAL DISABILITY c265 §13F",5,0,"A&B ON A PERSON WITH AN INTELLECTUAL DISABILITY","265","13F","No",0,0,NA
"682","A&B ON RETARDED PERSON c265 §13F",0,33,"A&B ON RETARDED PERSON","265","13F","No",0,0,NA
"683","INDECENT A&B ON RETARDED PERSON c265 §13F",0,21,"INDECENT A&B ON RETARDED PERSON","265","13F","No",0,0,NA
"684","INDECENT A&B ON PERSON 14 OR OVER c265 §13H",167,890,"INDECENT A&B ON PERSON 14 OR OVER","265","13H","No",0,0,NA
"685","INDECENT A&B ON PERSON 14 OR OVER AFTER CERTAIN OFFENSES  c265 §13H",2,0,"INDECENT A&B ON PERSON 14 OR OVER AFTER CERTAIN OFFENSES ","265","13H","No",0,0,NA
"686","INDECENT A&B DISABLED OR PERSON>60, c265s13H",1,0,"INDECENT A&B DISABLED OR PERSON>60,","265","13H","No",0,0,NA
"687","INDECENT A&B ON PERSON 14 OR OVER AFTER CERTAIN OFFENSES c265 §13H",0,5,"INDECENT A&B ON PERSON 14 OR OVER AFTER CERTAIN OFFENSES","265","13H","No",0,0,NA
"688","INDECENT A&B ON PERSON 14 OR OVER c. 265 s. 13H",0,1,"INDECENT A&B ON PERSON 14 OR OVER","265","13H","No",0,0,NA
"689","INDECENT A&B ON DISABLED PERSON OVER 60 c265 §13H/C",0,11,"INDECENT A&B ON DISABLED PERSON OVER 60","265","13H/C","No",0,0,NA
"690","A&B ON AMBULANCE PERSONNEL c265 §13I",30,159,"A&B ON AMBULANCE PERSONNEL","265","13I","Yes",0,0,NA
"691","ASSAULT ON AMBULANCE PERSONNEL c265 §13I",1,93,"ASSAULT ON AMBULANCE PERSONNEL","265","13I","Yes",0,0,NA
"692","A&B/ASSAULT ON AMBULANCE PERSONNEL c. 265 s. 13I",0,1,"A&B/ASSAULT ON AMBULANCE PERSONNEL","265","13I","Yes",0,0,NA
"693","A&B ON CHILD WITH INJURY c265 §13J(b)",18,129,"A&B ON CHILD WITH INJURY","265","13J(b)","No",0,0,NA
"694","A&B ON CHILD WITH SUBSTANTIAL INJURY c265 §13J(b)",13,17,"A&B ON CHILD WITH SUBSTANTIAL INJURY","265","13J(b)","No",0,0,NA
"695","CHILD, PERMIT SUBSTANTIAL INJURY TO c265 §13J(b)",4,0,"CHILD, PERMIT SUBSTANTIAL INJURY TO","265","13J(b)","No",0,0,NA
"696","CHILD, PERMIT INJURY TO c265 §13J(b)",4,4,"CHILD, PERMIT INJURY TO","265","13J(b)","No",0,0,NA
"697","A&B ON +60/DISABLED WITH INJURY c265 §13K(b)",71,378,"A&B ON +60/DISABLED WITH INJURY","265","13K(b)","No",0,0,NA
"698","A&B ON ELDER (60+)/DISABLED PERSON; BODILY INJURY c. 265 s. 13K(b)",0,1,"A&B ON ELDER (60+)/DISABLED PERSON; BODILY INJURY","265","13K(b)","No",0,0,NA
"699","A&B ON +60/DISABLED WITH SERIOUS INJURY c265 §13K(c)",4,75,"A&B ON +60/DISABLED WITH SERIOUS INJURY","265","13K(c)","No",0,0,NA
"700","ELDER/DISABLED, PERMIT INJURY TO c265 §13K(d)",1,23,"ELDER/DISABLED, PERMIT INJURY TO","265","13K(d)","No",0,0,NA
"701","ELDER/DISABLED, PERMIT SERIOUS INJURY TO c265 §13K(e)",0,5,"ELDER/DISABLED, PERMIT SERIOUS INJURY TO","265","13K(e)","No",0,0,NA
"702","A&B ON +60/DISABLED c265 §13K/F",0,458,"A&B ON +60/DISABLED","265","13K/F","No",0,0,NA
"703","RECKLESS ENDANGERMENT OF CHILD c265 §13L",0,198,"RECKLESS ENDANGERMENT OF CHILD","265","13L","Yes",0,0,NA
"704","ENDANGERMENT TO CHILDREN, RECKLESS c. 265 s. 13L",0,3,"ENDANGERMENT TO CHILDREN, RECKLESS","265","13L","Yes",0,0,NA
"705","A&B ON FAMILY/HOUSEHOLD MEMBER c265 §13M",0,8430,"A&B ON FAMILY/HOUSEHOLD MEMBER","265","13M","No",0,0,NA
"706","Assault & Battery on  Family/Household Member  c265  §13M(a)",2099,0,"ASSAULT & BATTERY ON  FAMILY/HOUSEHOLD MEMBER ","265","13M(a)","",0,0,NA
"707","Assault on Family/Household Member  c265  §13M(a)",145,0,"ASSAULT ON FAMILY/HOUSEHOLD MEMBER ","265","13M(a)","",0,0,NA
"708","Assault & Battery on Family/Household Member Subsequent,  c265  §13M(b)",41,0,"ASSAULT & BATTERY ON FAMILY/HOUSEHOLD MEMBER SUBSEQUENT, ","265","13M(b)","",0,0,NA
"709","Assault on Family/Household Member, Subsequent,  c265  §13M(b)",6,0,"ASSAULT ON FAMILY/HOUSEHOLD MEMBER, SUBSEQUENT, ","265","13M(b)","",0,0,NA
"710","ASSAULT ON FAMILY/HOUSEHOLD MEMBER c265 §13M(b)",0,57,"ASSAULT ON FAMILY/HOUSEHOLD MEMBER","265","13M(b)","No",0,0,NA
"711","ASSAULT ON FAMILY/HOUSEHOLD MEMBER, SUBSQ.OFF c265 §13M(b)",0,28,"ASSAULT ON FAMILY/HOUSEHOLD MEMBER, SUBSQ.OFF","265","13M(b)","No",0,0,NA
"712","Agg Assault & Battery Causing Serious Bodily Injury c265,s13A(b)(i)",6,0,"AGG ASSAULT & BATTERY CAUSING SERIOUS BODILY INJURY","265,","13A(b)(i)","No",0,0,NA
"713","Assault in Violation of Restraining Order,  c265,s13A(b)(iii)",1,0,"ASSAULT IN VIOLATION OF RESTRAINING ORDER, ","265,","13A(b)(iii)","",0,0,NA
"714","Wantonly or Recklessly Permitting A&B on Child under 14 Causing Bodily Injury, c265,s13J(c)",2,0,"WANTONLY OR RECKLESSLY PERMITTING A&B ON CHILD UNDER 14 CAUSING BODILY INJURY,","265,","13J(c)","No",0,0,NA
"715","MAYHEM c265 §14",16,140,"MAYHEM","265","14","No",0,0,NA
"716","ASSAULT TO MAIM c265 §14",3,11,"ASSAULT TO MAIM","265","14","No",0,0,NA
"717","ASSAULT TO MURDER c265 §15",18,201,"ASSAULT TO MURDER","265","15","No",0,1,NA
"718","ASSAULT TO MAIM c265 §15",0,16,"ASSAULT TO MAIM","265","15","No",0,0,NA
"719","ASSAULT TO MURDER OR MAIM c. 265 s. 15",0,1,"ASSAULT TO MURDER OR MAIM","265","15","No",0,1,NA
"720","A&B WITH DANGEROUS WEAPON +60 c265 §15A(a)",40,315,"A&B WITH DANGEROUS WEAPON +60","265","15A(a)","No",0,0,NA
"721","A&B WITH DANGEROUS WEAPON +65 c265 §15A(a)",1,0,"A&B WITH DANGEROUS WEAPON +65","265","15A(a)","No",0,0,NA
"722","A&B WITH DANGEROUS WEAPON +60, SUBSQ.OFF c265 §15A(a)",0,2,"A&B WITH DANGEROUS WEAPON +60, SUBSQ.OFF","265","15A(a)","No",0,0,NA
"723","A&B WITH DANGEROUS WEAPON +60, SUBSQ.OFF c. 265 s. 15A(a)",0,1,"A&B WITH DANGEROUS WEAPON +60, SUBSQ.OFF","265","15A(a)","No",0,0,NA
"724","A&B WITH DANGEROUS WEAPON  c265 §15A(b)",980,0,"A&B WITH DANGEROUS WEAPON ","265","15A(b)","No",0,0,NA
"725","A&B WITH DANGEROUS WEAPON c265 §15A(b)",0,9294,"A&B WITH DANGEROUS WEAPON","265","15A(b)","No",0,0,NA
"726","A&B WITH DANGEROUS WEAPON c. 265 s. 15A(b)",0,2,"A&B WITH DANGEROUS WEAPON","265","15A(b)","No",0,0,NA
"727","A&B WITH DANGEROUS WEAPON CAUSING SERIOUS BODILY INJURY c265 §15A(c)",0,296,"A&B WITH DANGEROUS WEAPON CAUSING SERIOUS BODILY INJURY","265","15A(c)","No",0,0,NA
"728","A&B WITH DANGEROUS WEAPON UPON PREGNANT PERSON c265 §15A(c)",0,57,"A&B WITH DANGEROUS WEAPON UPON PREGNANT PERSON","265","15A(c)","No",0,0,NA
"729","A&B WITH DANGEROUS WEAPON IN VIOLATION OF RESTRAINING ORDER c265 §15A(c)",0,5,"A&B WITH DANGEROUS WEAPON IN VIOLATION OF RESTRAINING ORDER","265","15A(c)","No",0,0,NA
"730","A&B WITH DANGEROUS WEAPON, VIOL OF ORDER c265 §15A(c)(iii)",1,0,"A&B WITH DANGEROUS WEAPON, VIOL OF ORDER","265","15A(c)(iii)","No",0,0,NA
"731","A&B WITH DANGEROUS WEAPON, CHILD UNDER 14 c265 §15A(c)(iv)",0,33,"A&B WITH DANGEROUS WEAPON, CHILD UNDER 14","265","15A(c)(iv)","No",0,0,NA
"732","A&B WITH DANGEROUS WEAPON, CHILD UNDER 14 c265 §15A(iv)",2,0,"A&B WITH DANGEROUS WEAPON, CHILD UNDER 14","265","15A(iv)","No",0,0,NA
"733","ASSAULT W/DANGEROUS WEAPON +60 c265 §15B(a)",33,100,"ASSAULT W/DANGEROUS WEAPON +60","265","15B(a)","No",0,0,NA
"734","ASSAULT W/DANGEROUS WEAPON +60, SUBSQ. c265 §15B(a)",0,1,"ASSAULT W/DANGEROUS WEAPON +60, SUBSQ.","265","15B(a)","No",0,0,NA
"735","ASSAULT W/DANGEROUS WEAPON +60 c. 265 s. 15B(a)",0,1,"ASSAULT W/DANGEROUS WEAPON +60","265","15B(a)","No",0,0,NA
"736","ASSAULT W/DANGEROUS WEAPON c265 §15B(b)",716,5847,"ASSAULT W/DANGEROUS WEAPON","265","15B(b)","No",0,0,NA
"737","ASSAULT W/DANGEROUS WEAPON c. 265 s. 15B(b)",0,3,"ASSAULT W/DANGEROUS WEAPON","265","15B(b)","No",0,0,NA
"738","ASSAULT W/HYPODERMIC NEEDLE, SYRINGE c265§15C(a)",1,0,"ASSAULT W/HYPODERMIC NEEDLE, SYRINGE","265","15C(a)","No",0,0,NA
"739","ASSAULT WITH HYPODERMIC c265 §15C/A",0,17,"ASSAULT WITH HYPODERMIC","265","15C/A","No",0,0,NA
"740","STRANGULATION OR SUFFOCATION c265 §15D(a)",0,1358,"STRANGULATION OR SUFFOCATION","265","15D(a)","No",0,0,NA
"741","Strangulation or Suffocation,  c265  §15D(b)",385,0,"STRANGULATION OR SUFFOCATION, ","265","15D(b)","No",0,0,NA
"742","Strangulation or Suffocation, Pregnant Victim,  c265  §15D(c)",13,0,"STRANGULATION OR SUFFOCATION, PREGNANT VICTIM, ","265","15D(c)","No",0,0,NA
"743","Strangulation or Suffocation, Violation of Court Order,  c265  §15D(c)",6,0,"STRANGULATION OR SUFFOCATION, VIOLATION OF COURT ORDER, ","265","15D(c)","No",0,0,NA
"744","Strangulation or Suffocation, Subsequent,  c265  §15D(c)",3,0,"STRANGULATION OR SUFFOCATION, SUBSEQUENT, ","265","15D(c)","No",0,0,NA
"745","Strangulation or Suffocation, Serious Bodily Injury,  c265  §15D(c)",3,0,"STRANGULATION OR SUFFOCATION, SERIOUS BODILY INJURY, ","265","15D(c)","No",0,0,NA
"746","STRANGULATION OR SUFFOCATION, PREGNANT VICTIM c265 §15D(c)",0,16,"STRANGULATION OR SUFFOCATION, PREGNANT VICTIM","265","15D(c)","No",0,0,NA
"747","A&B BY DISCHARGING A FIREARM c265 §15E",11,0,"A&B BY DISCHARGING A FIREARM","265","15E","No",0,0,NA
"748","A&B BY DISCHARGING FIREARM c265 §15E(a)",0,129,"A&B BY DISCHARGING FIREARM","265","15E(a)","No",0,0,NA
"749","ATTEMPTED A&B BY DISCHARGING A FIREARM c265 §15F(a)",0,112,"ATTEMPTED A&B BY DISCHARGING A FIREARM","265","15F(a)","No",0,0,NA
"750","Agg ABDW, c265,s15A(c)(i)",15,0,"AGG ABDW,","265,","15A(c)(i)","No",0,0,NA
"751","Aggravated ABDW, c265,s15A(c)(iv)",4,0,"AGGRAVATED ABDW,","265,","15A(c)(iv)","No",0,0,NA
"752","MURDER, ATTEMPTED c265 §16",51,62,"MURDER, ATTEMPTED","265","16","No",0,1,NA
"753","ROBBERY, ARMED c265 §17",81,1754,"ROBBERY, ARMED","265","17","No",0,0,NA
"754","ROBBERY, ARMED & MASKED c265 §17",67,235,"ROBBERY, ARMED & MASKED","265","17","No",0,0,NA
"755","ROBBERY, FIREARM-ARMED c265 §17",19,109,"ROBBERY, FIREARM-ARMED","265","17","No",0,0,NA
